"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RCN2.2",0.000211070760323493,-0.435137496800352,0.073,0.159,1,"Monocyte CD16","RCN2"
"NDUFA1.2",0.000217906115776729,0.281738688188903,0.597,0.483,1,"Monocyte CD16","NDUFA1"
"IRF2",0.000225847384646629,0.275090559853933,0.262,0.162,1,"Monocyte CD16","IRF2"
"TSPYL4.1",0.000232002532068585,-0.32469294527719,0.039,0.114,1,"Monocyte CD16","TSPYL4"
"LMNA.4",0.000232110266223614,-0.601161174754125,0.094,0.185,1,"Monocyte CD16","LMNA"
"UXT.3",0.000260287339900684,-0.382265054806239,0.494,0.544,1,"Monocyte CD16","UXT"
"PHF1.2",0.000260459183536596,-0.326707083075667,0.107,0.204,1,"Monocyte CD16","PHF1"
"CD82.5",0.000260961035708174,-0.392759206463064,0.064,0.146,1,"Monocyte CD16","CD82"
"PPP1R2.3",0.000261045173275106,-0.437907030229818,0.292,0.384,1,"Monocyte CD16","PPP1R2"
"FGD3",0.000267364222410063,0.358159538472964,0.288,0.191,1,"Monocyte CD16","FGD3"
"MT-ND4.4",0.00027085908061969,0.360774361017402,0.91,0.852,1,"Monocyte CD16","MT-ND4"
"NXF1.1",0.000286398556981237,0.300354773431762,0.189,0.109,1,"Monocyte CD16","NXF1"
"ARAP2.6",0.000301063833304444,0.421128420363844,0.283,0.182,1,"Monocyte CD16","ARAP2"
"LYAR.7",0.000305062361399844,-0.589310500169896,0.099,0.181,1,"Monocyte CD16","LYAR"
"SCFD1",0.000316522277080355,0.254919706726269,0.159,0.088,1,"Monocyte CD16","SCFD1"
"ALG2",0.000317113620111839,0.265760274033412,0.112,0.055,1,"Monocyte CD16","ALG2"
"ARPC5L.6",0.000329426009772298,-0.548353268404334,0.206,0.288,1,"Monocyte CD16","ARPC5L"
"IL4R.4",0.000331549927870585,-0.481318240949701,0.047,0.122,1,"Monocyte CD16","IL4R"
"CCDC107.5",0.000337351497007325,-0.445193140257203,0.12,0.205,1,"Monocyte CD16","CCDC107"
"SRSF2.3",0.00034235424630027,-0.482419818849765,0.395,0.449,1,"Monocyte CD16","SRSF2"
"SNRPA.1",0.000344521254616833,-0.452908973653944,0.185,0.269,1,"Monocyte CD16","SNRPA"
"TBCB.3",0.000357206592693128,0.314016978254399,0.425,0.302,1,"Monocyte CD16","TBCB"
"RSBN1.1",0.000362151324716814,-0.388091000367957,0.103,0.191,1,"Monocyte CD16","RSBN1"
"ATM.3",0.000390545916578786,-0.471661842192609,0.236,0.323,1,"Monocyte CD16","ATM"
"EGR1.6",0.000402315043082487,-0.634789364780235,0.06,0.139,1,"Monocyte CD16","EGR1"
"MRPL10.6",0.000402386033277559,-0.4252550808733,0.056,0.131,1,"Monocyte CD16","MRPL10"
"REPS1",0.000406422744745999,0.34323385937081,0.159,0.089,1,"Monocyte CD16","REPS1"
"STN1.2",0.000422175758659716,-0.333785190642305,0.043,0.117,1,"Monocyte CD16","STN1"
"TECR.1",0.000428197957415491,-0.371815617312886,0.189,0.279,1,"Monocyte CD16","TECR"
"CIRBP.2",0.000445906867596058,-0.319147529109983,0.691,0.724,1,"Monocyte CD16","CIRBP"
"ATF7IP2.1",0.000461687575073236,-0.342400923690102,0.052,0.127,1,"Monocyte CD16","ATF7IP2"
"DNM1L",0.000465236909492374,0.256150677317377,0.167,0.097,1,"Monocyte CD16","DNM1L"
"UBB.5",0.000529982841090535,-0.392410061000512,0.678,0.704,1,"Monocyte CD16","UBB"
"CCNK",0.000532765160783771,0.253301664975526,0.202,0.122,1,"Monocyte CD16","CCNK"
"SLC25A3",0.000539944752385312,0.258365653701946,0.644,0.531,1,"Monocyte CD16","SLC25A3"
"NUCKS1.2",0.000547329553471754,-0.471498876365813,0.232,0.311,1,"Monocyte CD16","NUCKS1"
"MZT2B.2",0.000557575040964446,-0.426160168256735,0.356,0.409,1,"Monocyte CD16","MZT2B"
"GCC2.2",0.000561220378243004,-0.370463557361855,0.189,0.282,1,"Monocyte CD16","GCC2"
"BTG2.3",0.00057003565900889,-0.436581814636572,0.562,0.597,1,"Monocyte CD16","BTG2"
"PLEKHA1.4",0.000590905326298541,-0.397909585105732,0.043,0.112,1,"Monocyte CD16","PLEKHA1"
"LRP10.2",0.000599982467833058,-0.403356869918881,0.12,0.204,1,"Monocyte CD16","LRP10"
"ACTN1.6",0.000608883298055734,-0.47244442286773,0.056,0.131,1,"Monocyte CD16","ACTN1"
"TMED10.3",0.00063900211355573,-0.506279963624159,0.275,0.34,1,"Monocyte CD16","TMED10"
"AKR1B1.2",0.000640749782199292,-0.378923394599979,0.073,0.149,1,"Monocyte CD16","AKR1B1"
"ORMDL3.1",0.000640797175066656,-0.326533884595898,0.034,0.101,1,"Monocyte CD16","ORMDL3"
"CMC1.6",0.000654211715565607,-0.75495560842644,0.107,0.183,1,"Monocyte CD16","CMC1"
"STK17B.2",0.00065670150249366,0.342271094845394,0.738,0.606,1,"Monocyte CD16","STK17B"
"H2AX.2",0.000673079406157275,-0.401547883827659,0.039,0.104,1,"Monocyte CD16","H2AX"
"HNRNPDL.1",0.000701106445488041,-0.266251627144445,0.678,0.738,1,"Monocyte CD16","HNRNPDL"
"MCUB.5",0.000705355706536014,-0.442726607602841,0.296,0.372,1,"Monocyte CD16","MCUB"
"RSRP1.2",0.00072007930689857,-0.345124623178754,0.459,0.549,1,"Monocyte CD16","RSRP1"
"GORASP2.1",0.000772005268580795,-0.363325476856532,0.06,0.131,1,"Monocyte CD16","GORASP2"
"EIF4B.2",0.000777709874990762,-0.32033260667487,0.536,0.585,1,"Monocyte CD16","EIF4B"
"PLP2.6",0.000842983890507411,-0.450475049360431,0.283,0.354,1,"Monocyte CD16","PLP2"
"PTOV1",0.000897275882052312,-0.291706896312418,0.069,0.144,1,"Monocyte CD16","PTOV1"
"MAX.2",0.000912848703976545,-0.542025406720653,0.193,0.277,1,"Monocyte CD16","MAX"
"FYN.6",0.000946323643589444,-0.509879933773434,0.163,0.24,1,"Monocyte CD16","FYN"
"CYLD.3",0.000977314399524488,-0.502506761336866,0.193,0.268,1,"Monocyte CD16","CYLD"
"PPP1R15A.4",0.000983295284093929,-0.312696166493266,0.811,0.803,1,"Monocyte CD16","PPP1R15A"
"ATP5IF1.1",0.000987696862570628,-0.354297411770992,0.373,0.446,1,"Monocyte CD16","ATP5IF1"
"GPBP1.1",0.000991112790216911,-0.464310125105509,0.21,0.278,1,"Monocyte CD16","GPBP1"
"OXCT1.1",0.00100892321082887,-0.308377427461677,0.039,0.103,1,"Monocyte CD16","OXCT1"
"ZBTB38.5",0.00104598647181077,-0.3845057244686,0.064,0.136,1,"Monocyte CD16","ZBTB38"
"ATP8A1.5",0.00105166639264063,-0.303245131243739,0.039,0.105,1,"Monocyte CD16","ATP8A1"
"LMAN1.2",0.00106794565052358,-0.398048505069043,0.09,0.164,1,"Monocyte CD16","LMAN1"
"ACTR1B.2",0.00106890113693612,-0.350599410676159,0.043,0.107,1,"Monocyte CD16","ACTR1B"
"IVNS1ABP.2",0.00107057187181747,-0.37509808444042,0.133,0.212,1,"Monocyte CD16","IVNS1ABP"
"A1BG.3",0.00109016873513023,-0.29014475256098,0.052,0.121,1,"Monocyte CD16","A1BG"
"TSPYL1.2",0.00112302315738118,-0.376237056697993,0.137,0.219,1,"Monocyte CD16","TSPYL1"
"BTN3A2.3",0.00112936104698611,-0.498549604078527,0.155,0.226,1,"Monocyte CD16","BTN3A2"
"HBS1L",0.00116665410406161,-0.373890737262336,0.056,0.124,1,"Monocyte CD16","HBS1L"
"TTC3.3",0.00120739493929784,-0.390454712595251,0.223,0.303,1,"Monocyte CD16","TTC3"
"CYTIP.2",0.00121055836033888,0.256136737881274,0.511,0.385,1,"Monocyte CD16","CYTIP"
"MED10.2",0.00121148528728048,-0.3564073565856,0.27,0.344,1,"Monocyte CD16","MED10"
