entrez cluster avg_diff
7117 MGE-RG1 -0.621007379
160335 MGE-RG1 1.726808765
3371 MGE-RG1 0.676995491
64759 MGE-RG1 1.46586884
10140 MGE-RG1 0.633539975
10766 MGE-RG1 0.949668179
27324 MGE-RG1 0.824228167
6399 MGE-RG1 -1.267599454
51399 MGE-RG1 -0.774592572
28951 MGE-RG1 -1.042312279
23321 MGE-RG1 -0.326228633
114088 MGE-RG1 2.425262921
7205 MGE-RG1 1.516402835
7227 MGE-RG1 1.525010349
9819 MGE-RG1 0.599751877
10100 MGE-RG1 1.232612196
7105 MGE-RG1 0.425355806
146057 MGE-RG1 0.65306257
23331 MGE-RG1 -1.914437345
7267 MGE-RG1 -0.517773845
125488 MGE-RG1 -0.888771211
9654 MGE-RG1 1.532629586
57348 MGE-RG1 1.245011747
7846 MGE-RG1 -0.879660324
399942 MGE-RG1 -0.451767737
7280 MGE-RG1 -0.77040899
7280 MGE-RG1 -0.498894091
347733 MGE-RG1 -1.000818656
92755 MGE-RG1 -0.797969942
7286 MGE-RG1 0.86490586
56995 MGE-RG1 -2.280287509
7295 MGE-RG1 -1.240663076
10054 MGE-RG1 0.479746727
165324 MGE-RG1 0.567737158
7357 MGE-RG1 -2.204556478
57578 MGE-RG1 -1.808505069
9960 MGE-RG1 -1.172283179
54532 MGE-RG1 1.006832574
7402 MGE-RG1 1.021668206
7412 MGE-RG1 1.748737609
79674 MGE-RG1 2.699523867
7431 MGE-RG1 1.233715765
112936 MGE-RG1 -1.34977953
51322 MGE-RG1 0.47939156
57728 MGE-RG1 1.06408034
57539 MGE-RG1 1.07550606
7465 MGE-RG1 1.020516482
79971 MGE-RG1 2.200194547
26118 MGE-RG1 0.602381874
25937 MGE-RG1 2.278408894
7520 MGE-RG1 -0.977271892
10413 MGE-RG1 1.865820316
8531 MGE-RG1 1.992745698
55689 MGE-RG1 -1.146953784
10897 MGE-RG1 1.210686123
7532 MGE-RG1 -1.184804433
10472 MGE-RG1 -2.424005898
26137 MGE-RG1 1.072268822
677 MGE-RG1 1.498268224
678 MGE-RG1 2.080452132
22882 MGE-RG1 1.656006184
54989 MGE-RG1 1.547570225
91603 MGE-RG1 0.858010049
7644 MGE-RG1 -1.519930507
57688 MGE-RG1 -0.715312995
4761 MGE-RG1 -2.691314314
54715 MGE-RG1 -4.16053214
5613 MGE-RG1 -4.305223289
374946 MGE-RG1 -4.431790689
23544 MGE-RG1 -4.742345849
23231 MGE-RG1 -4.770223791
57144 MGE-RG1 -4.780849732
9732 MGE-RG1 -4.830918979
3899 MGE-RG1 -4.908234167
54331 MGE-RG1 -5.393323288
137970 MGE-RG1 -5.446972424
10371 MGE-RG1 -5.54074945
NA MGE-RG1 -5.714819748
283450 MGE-RG2 -0.250388182
441032 MGE-RG2 0.250621418
22971 MGE-RG2 0.25811845
NA MGE-RG2 0.2603025
100506421 MGE-RG2 0.26064895
10360 MGE-RG2 0.263390619
3727 MGE-RG2 0.266022594
7465 MGE-RG2 0.27043801
5759 MGE-RG2 0.271466433
6168 MGE-RG2 0.27360914
27333 MGE-RG2 -0.273881193
9530 MGE-RG2 0.276011497
NA MGE-RG2 0.277342961
10109 MGE-RG2 -0.277716107
387978 MGE-RG2 0.27968425
6138 MGE-RG2 0.281621368
133283 MGE-RG2 0.289490718
7118 MGE-RG2 0.289604489
647436 MGE-RG2 0.290121115
9790 MGE-RG2 0.290362113
4267 MGE-RG2 0.290887208
2353 MGE-RG2 0.2920612
6155 MGE-RG2 0.29230149
23524 MGE-RG2 0.293084675
23327 MGE-RG2 -0.298679643
22848 MGE-RG2 -0.929836385
10157 MGE-RG2 0.499256145
18 MGE-RG2 1.248368099
58527 MGE-RG2 -2.853319753
NA MGE-RG2 2.014908462
NA MGE-RG2 0.418726131
NA MGE-RG2 0.330909548
NA MGE-RG2 0.910422827
NA MGE-RG2 0.613466427
NA MGE-RG2 0.381797667
10121 MGE-RG2 -1.974489895
119 MGE-RG2 -0.450172867
2334 MGE-RG2 1.764193063
3899 MGE-RG2 -2.922987821
27125 MGE-RG2 -0.831842254
116988 MGE-RG2 -1.348214449
54806 MGE-RG2 0.765036525
83543 MGE-RG2 1.718954169
205 MGE-RG2 1.772291124
9472 MGE-RG2 -0.490548082
10142 MGE-RG2 -0.847457086
219 MGE-RG2 1.356815284
4329 MGE-RG2 0.693973576
79053 MGE-RG2 1.091921842
10189 MGE-RG2 1.227351313
219287 MGE-RG2 -1.232600034
51529 MGE-RG2 0.829523149
288 MGE-RG2 -0.843775593
23253 MGE-RG2 -1.016190268
57182 MGE-RG2 -1.42823057
56899 MGE-RG2 -0.432060299
